Price,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Diff,BB_Middle,BB_Upper,BB_Lower,ATR,ADX,Trend_Strength,Signal
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2025-10-13,46067.578125,46153.48828125,45698.4609375,45698.4609375,414070000,46243.00315415103,46192.08232734639,45923.651239625055,46.27526786129618,0,118.11942701571388,201.11811907758675,-82.99869206187287,46273.12578125,46906.752631660405,45639.49893083959,440.24107142857144,12.550954622695201,False,0
2025-10-14,46270.4609375,46522.671875,45452.03125,45871.890625,515330000,46247.9954783963,46199.54695688483,45937.25161993387,52.44199697675786,0,111.20653714636137,183.1358026913417,-71.92926554498032,46298.75390625,46884.27320814571,45713.23460435429,491.23828125,11.56766978705214,False,0
2025-10-15,46253.30859375,46693.33984375,46027.23046875,46375.171875,488700000,46248.961499369696,46204.66711277675,45949.64601106392,55.279934321831114,0,103.1548662413552,167.1396154013444,-63.98474915998921,46310.5033203125,46881.58122126592,45739.425419359075,514.7282366071429,10.945634795965779,False,0
2025-10-16,45952.23828125,46422.33984375,45781.1796875,46289.08984375,481610000,46195.01182334793,46180.626271678964,45949.74766871828,44.9107307692826,0,71.65401805376314,148.04249593182817,-76.38847787806503,46300.994140625,46889.91131441665,45712.07696683335,531.5460379464286,9.999113588557176,False,0
2025-10-17,46190.609375,46327.0703125,45862.37109375,45862.3984375,492870000,46194.21137819375,46181.57704342382,45959.19322582737,47.95555928992636,0,65.17265423951176,131.46852759336488,-66.29587335385312,46294.7611328125,46885.67751847549,45703.84474714951,547.73828125,9.321736957435805,False,0
2025-10-20,46706.578125,46759.26953125,46312.87890625,46312.87890625,444010000,46287.36896852216,46231.577146431075,45988.502437559626,54.406683633751854,0,100.51185462163266,125.27719299901845,-24.76533837738579,46311.0130859375,46929.227090253626,45692.79908162137,565.36328125,8.558599627446453,False,0
2025-10-21,46924.73828125,47125.66015625,46688.25,46707.078125,430490000,46403.254298109045,46297.59249260431,46025.21756868474,56.57572297315241,0,144.4569174751814,129.11313789425105,15.343779580930345,46342.6109375,47018.78490576123,45666.43696923877,578.5789620535714,8.42979644151506,False,0
2025-10-22,46590.41015625,46941.55859375,46461.51953125,46941.55859375,458450000,46437.282635952855,46325.47988914199,46047.38198388338,50.89866092222861,0,150.57052748892602,133.40461581318607,17.16591167573995,46366.0673828125,47042.46136542485,45689.67340020015,591.0290178571429,7.945354881124551,False,0
2025-10-23,46734.609375,46802.1484375,46490.05859375,46519.12890625,407570000,46491.34204305233,46364.44460208085,46074.33207765266,49.69167523124358,0,165.14756101834791,139.75320485421844,25.394356164129476,46405.4318359375,47070.76116180886,45740.10251006614,575.4695870535714,6.879039313533755,False,0
2025-10-24,47207.12109375,47326.73046875,46811.51171875,46811.51171875,403500000,46621.48368863373,46444.699506049335,46118.755176323146,56.02817510126577,0,212.37953281754744,154.27847044688426,58.101062370663186,46453.4234375,47203.76124693152,45703.08562806848,587.8005022321429,5.98528901615436,False,0
2025-10-27,47544.58984375,47564.51953125,47375.9609375,47412.80078125,426790000,46789.32117138214,46549.45096678273,46174.67026132028,60.47753336439693,0,273.88494339733006,178.19976503697342,95.68517836035664,46514.8494140625,47405.80959008727,45623.88923803772,583.2954799107143,5.6571476644545085,False,0
2025-10-28,47706.37109375,47943.16015625,47675.69921875,47752.3515625,603670000,46956.05752090356,46659.6338360177,46234.73696063126,61.86697240391224,0,331.857373983803,208.93128682633935,122.92608715746363,46580.2734375,47615.549771367725,45544.997103632275,589.0583147321429,5.764059019756269,False,0
2025-10-29,47632.0,48040.640625,47448.58984375,47746.7890625,683470000,47078.95615346654,46752.240137349356,46289.531589626116,64.19799751954403,0,367.5627822184033,240.65758590475215,126.90519631365115,46639.818359375,47773.68776265243,45505.94895609757,601.8468191964286,6.299600563168588,False,0
2025-10-30,47522.12109375,48014.921875,47381.91015625,47446.87890625,593890000,47159.53159715445,46825.56213319703,46337.86843292509,77.48187531731992,-1,382.5830863797819,269.0426859997581,113.54040038002381,46689.9384765625,47888.24235143136,45491.63460169364,563.4176897321429,7.433698441471535,False,0
2025-10-31,47562.87109375,47718.37890625,47347.28125,47659.9609375,704620000,47232.86605108091,46895.78203420208,46385.90775295744,73.5932902468699,-1,393.2419219890726,293.882533197621,99.35938879145158,46730.16796875,47990.54804652375,45469.78789097625,541.7898995535714,8.219582664796429,False,0
2025-11-03,47336.6796875,47697.328125,47135.9609375,47697.328125,571740000,47251.74125770257,46937.772286897125,46423.19292686107,66.70035878434271,0,379.06771324149304,310.9195692063954,68.14814403509763,46762.253515625,48051.20886994127,45473.29816130873,505.41322544642856,9.143697165658619,False,0
2025-11-04,47085.23828125,47274.8984375,46877.05859375,47148.0390625,514650000,47221.46798925664,46951.81666731168,46449.155489778284,62.13966998866826,0,343.5847000404974,317.45259537321584,26.132104667281567,46786.36640625,48080.80801935272,45491.924793147286,490.6640625,9.651955621072052,False,0
2025-11-05,47311.0,47460.359375,47041.30859375,47097.30859375,469010000,47237.74653666452,46986.02460375819,46482.95331370855,70.272863015982,-1,329.8786051532079,319.9377973292143,9.940807823993623,46821.82734375,48133.717891354165,45509.93679614584,474.79910714285717,10.704608838640914,False,0
