Price,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Diff,BB_Middle,BB_Upper,BB_Lower,ATR,ADX,Trend_Strength,Signal
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2025-10-13,22694.609375,22718.75,22499.490234375,22578.669921875,9018770000,22699.74173861484,22580.43434259187,22262.45900259118,52.320408958844475,0,183.26452290997258,220.83020666749934,-37.565683757526756,22637.72666015625,23118.03304364931,22157.420276663193,299.97572544642856,13.708046897711423,False,0
2025-10-14,22521.69921875,22691.0703125,22213.73046875,22388.0390625,9776720000,22667.370371366687,22574.840521273596,22272.6252855778,50.44024168207958,0,156.82965192083793,208.03009571816708,-51.20044379732914,22647.11357421875,23109.424479950045,22184.802668487457,315.720703125,13.825220864931337,False,0
2025-10-15,22670.080078125,22841.689453125,22427.7890625,22738.5,11374850000,22667.86304532274,22583.910955259445,22288.211748030633,55.20235103612646,0,146.16798791173642,195.65767415688094,-49.489686245144526,22667.55107421875,23092.69965523591,22242.402493201593,323.0,13.806446445002658,False,0
2025-10-16,22562.5390625,22886.869140625,22404.689453125,22764.400390625,11343620000,22648.71323026406,22581.875536901403,22298.969681931394,51.42619808306709,0,127.57032981586599,182.04020528867798,-54.46987547281199,22672.1419921875,23090.26626174927,22254.017722625726,342.9599609375,13.67784122762865,False,0
2025-10-17,22679.970703125,22736.009765625,22396.650390625,22489.810546875,9552150000,22654.39640714787,22591.217933684602,22313.910898448794,51.60828971565993,0,120.91348833972006,169.8148618988864,-48.90137355916633,22674.56650390625,23092.260149352387,22256.872858460116,351.4263392857143,13.182313265168313,False,0
2025-10-20,22990.5390625,23031.869140625,22841.0,22844.8203125,9440620000,22715.51325357553,22629.248517381307,22340.445336254725,55.50325029023352,0,139.09476669642027,163.67084285839317,-24.576076161972907,22684.64443359375,23123.16820621135,22246.120660976147,363.88839285714283,12.55139475782624,False,0
2025-10-21,22953.669921875,23010.349609375,22894.419921875,22984.55078125,10845130000,22758.814465993615,22660.145793999753,22364.493359220225,53.37056406548983,0,148.81310442806353,160.69929517232725,-11.886190744263729,22703.65439453125,23154.67131886486,22252.637470197642,353.18052455357144,12.028463023149175,False,0
2025-10-22,22740.400390625,22978.400390625,22514.080078125,22940.7890625,14361150000,22755.466452290228,22667.789088916445,22379.234811432176,48.31140698372213,0,137.7183568026776,156.10310749839732,-18.38475069571973,22715.7814453125,23156.42323433821,22275.13965628679,374.14271763392856,12.245483905536076,False,0
2025-10-23,22941.80078125,22983.4609375,22732.1796875,22751.330078125,10363600000,22789.345421192003,22693.88544056726,22401.29622201327,52.514675870183645,0,143.5225787779127,153.58700175430042,-10.064422976387704,22743.6365234375,23166.219016547613,22321.05403032739,375.69070870535717,12.942865820501455,False,0
2025-10-24,23204.869140625,23261.259765625,23127.9609375,23143.23046875,10308620000,22864.895188361636,22742.550554858473,22432.80888548824,53.9771379056735,0,167.41997134366466,156.35359567217327,11.066375671491386,22779.67646484375,23231.018134537884,22328.334795149614,383.42271205357144,13.290523171287395,False,0
