Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2025-09-05,45400.859375,45770.19921875,45211.78125,45656.48828125,558920000
2025-09-08,45514.94921875,45542.55859375,45277.73046875,45430.609375,472240000
2025-09-09,45711.33984375,45764.19921875,45433.51171875,45547.62109375,449650000
2025-09-10,45490.921875,45731.5,45380.05859375,45731.5,579920000
2025-09-11,46108.0,46137.19921875,45577.08984375,45577.08984375,448340000
2025-09-12,45834.21875,46077.140625,45813.9296875,46077.140625,421730000
2025-09-15,45883.44921875,45978.4296875,45771.87890625,45848.390625,401500000
2025-09-16,45757.8984375,45967.109375,45667.421875,45919.5390625,443400000
2025-09-17,46018.3203125,46261.94921875,45687.58984375,45778.3984375,509830000
2025-09-18,46142.421875,46317.51953125,45954.73046875,46056.55078125,489090000
2025-09-19,46315.26953125,46396.46875,46105.01953125,46211.16015625,972580000
2025-09-22,46381.5390625,46447.12890625,46035.828125,46206.69140625,627450000
2025-09-23,46292.78125,46714.26953125,46217.578125,46364.109375,541530000
2025-09-24,46121.28125,46453.0703125,46096.390625,46368.94140625,421040000
2025-09-25,45947.3203125,46122.421875,45785.171875,46097.4296875,509180000
2025-09-26,46247.2890625,46353.03125,46051.921875,46101.44921875,434270000
2025-09-29,46316.0703125,46387.05859375,46149.05078125,46306.33984375,479740000
2025-09-30,46397.890625,46425.30078125,46103.390625,46282.62890625,584780000
2025-10-01,46441.1015625,46528.78125,46276.390625,46366.78125,552790000
2025-10-02,46519.71875,46589.30859375,46283.5703125,46461.109375,442010000
2025-10-03,46758.28125,47049.640625,46566.87109375,46583.94921875,425050000
2025-10-06,46694.96875,46846.44921875,46426.9609375,46776.0390625,500000000
2025-10-07,46602.98046875,46868.48828125,46448.01953125,46700.8984375,411280000
2025-10-08,46601.78125,46816.28125,46498.390625,46649.3203125,423510000
2025-10-09,46358.421875,46684.41015625,46271.3984375,46622.30859375,493080000
2025-10-10,45479.6015625,46641.73828125,45470.71875,46394.87890625,658100000
2025-10-13,46067.578125,46153.48828125,45698.4609375,45698.4609375,414070000
2025-10-14,46270.4609375,46522.671875,45452.03125,45871.890625,515330000
2025-10-15,46253.30859375,46693.33984375,46027.23046875,46375.171875,488700000
2025-10-16,45952.23828125,46422.33984375,45781.1796875,46289.08984375,481610000
2025-10-17,46190.609375,46327.0703125,45862.37109375,45862.3984375,492870000
2025-10-20,46706.578125,46759.26953125,46312.87890625,46312.87890625,444010000
2025-10-21,46924.73828125,47125.66015625,46688.25,46707.078125,430490000
2025-10-22,46590.41015625,46941.55859375,46461.51953125,46941.55859375,458450000
2025-10-23,46734.609375,46802.1484375,46490.05859375,46519.12890625,407570000
2025-10-24,47207.12109375,47326.73046875,46811.51171875,46811.51171875,403500000
2025-10-27,47544.58984375,47564.51953125,47375.9609375,47412.80078125,426790000
2025-10-28,47706.37109375,47943.16015625,47675.69921875,47752.3515625,603670000
2025-10-29,47632.0,48040.640625,47448.58984375,47746.7890625,683470000
2025-10-30,47522.12109375,48014.921875,47381.91015625,47446.87890625,593890000
2025-10-31,47562.87109375,47718.37890625,47347.28125,47659.9609375,704620000
2025-11-03,47336.6796875,47697.328125,47135.9609375,47697.328125,571740000
2025-11-04,47085.23828125,47274.8984375,46877.05859375,47148.0390625,514650000
2025-11-05,47311.0,47460.359375,47041.30859375,47097.30859375,469010000
2025-11-06,46912.30078125,47359.2890625,46787.44140625,47255.12109375,552150000
2025-11-07,46987.1015625,46996.7109375,46495.62109375,46797.03125,591090000
2025-11-10,47368.62890625,47412.890625,46934.3515625,47095.05859375,490070000
2025-11-11,47927.9609375,47974.37109375,47384.51171875,47384.51171875,454970000
2025-11-12,48254.8203125,48431.5703125,48015.7890625,48015.7890625,497550000
2025-11-13,47457.21875,48233.25,47411.1015625,48173.921875,608110000
2025-11-14,47147.48046875,47380.0703125,46863.05078125,47222.37890625,552330000
2025-11-17,46590.23828125,47202.55859375,46430.26953125,47068.05859375,503830000
2025-11-18,46091.73828125,46382.921875,45913.6015625,46382.921875,596360000
2025-11-19,46138.76953125,46299.12890625,45905.19140625,46138.6796875,555370000
2025-11-20,45752.26171875,46856.75,45728.9296875,46567.51171875,721440000
2025-11-21,46245.41015625,46577.5,45781.578125,45808.6484375,790560000
2025-11-24,46448.26953125,46587.7109375,46108.01171875,46351.9296875,743580000
2025-11-25,47112.44921875,47182.8984375,46341.3515625,46482.359375,648860000
2025-11-26,47427.12109375,47571.3984375,47196.1484375,47196.1484375,454980000
2025-11-28,47716.421875,47750.76953125,47475.609375,47482.25,272500000
2025-12-01,47289.328125,47676.03125,47271.109375,47580.8515625,482190000
2025-12-02,47474.4609375,47597.109375,47263.921875,47416.91015625,510900000
2025-12-03,47882.8984375,47969.640625,47371.62109375,47371.62109375,490380000
2025-12-04,47850.94140625,48049.71875,47692.9609375,47888.16015625,498740000
2025-12-05,47954.98828125,48133.5390625,47871.51171875,47879.6015625,456100000
2025-12-08,47739.3203125,47971.51171875,47611.9296875,47971.51171875,505490000
2025-12-09,47560.2890625,47957.7890625,47533.6015625,47724.51953125,425470000
2025-12-10,48057.75,48197.30078125,47462.94140625,47573.9609375,545610000
2025-12-11,48704.01171875,48756.33984375,48082.8984375,48082.8984375,493950000
2025-12-12,48458.05078125,48886.859375,48334.1015625,48714.75,495830000
2025-12-15,48416.55859375,48679.140625,48283.26953125,48594.359375,516630000
2025-12-16,48114.26171875,48452.171875,47946.25,48380.171875,457400000
